Date,Symbol,Company Name,Split Ratio
08/25/2025,GWAV,Greenwave Technology Solutions Inc,1 : 110.01
08/22/2025,OESX,Orion Energy Systems Inc,1 : 10
08/22/2025,ZNB,Zeta Network Group,1 : 25
08/21/2025,AZTR,Azitra Inc,1 : 6.66
08/20/2025,GIBO,Gibo Holdings Ltd.,1 : 200
08/19/2025,LNZA,Lanzatech Global Inc,1 : 100
08/18/2025,SLRX,Salarius Pharmaceuticals Inc,1 : 15
08/18/2025,ENTO,Entero Therapeutics Inc,1 : 3
08/18/2025,CHSN,Chanson International Holding,1 : 80
08/15/2025,VTAK,Catheter Precision Inc,1 : 19
08/15/2025,HIND,Vyome Holdings Inc,1 : 4
08/12/2025,NAOV,Nanovibronix Inc,1 : 10
08/11/2025,SISI,Shineco Inc,1 : 50
08/11/2025,NCNA,Nucana PLC,1 : 200
08/11/2025,VERU,Veru Inc,1 : 10
08/11/2025,WATT,Energous Corp,1 : 30
08/08/2025,DEVS,Devvstream Corp,1 : 10
08/08/2025,ZBAI,Atif Holdings Ltd.,1 : 18
08/08/2025,HTCO,High-trend International Group,1 : 25
08/08/2025,EVTV,Envirotech Vehicles Inc,1 : 10
08/07/2025,SPRB,Spruce Biosciences Inc,1 : 75.02
08/06/2025,SEAT,Vivid Seats Inc,1 : 20
08/05/2025,OST,Ostin Technology Group Co Ltd.,1 : 25
08/05/2025,CLDI,Calidi Biotherapeutics Inc,1 : 12
08/05/2025,ACXP,Acurx Pharmaceuticals Inc,1 : 20
08/05/2025,MKZR,Mackenzie Realty Capital Inc,1 : 10
08/04/2025,ANGH,Anghami Inc,1 : 10
08/04/2025,FLGC,Flora Growth Corp,1 : 39
08/04/2025,AQMS,Aqua Metals Inc,1 : 10
08/01/2025,HCTI,Healthcare Triangle Inc,1 : 248.76
08/01/2025,DRMA,Dermata Therapeutics Inc,1 : 10
07/31/2025,BDRX,Biodexa Pharmaceuticals PLC,1 : 10
07/31/2025,FGI,Fgi Industries Ltd.,1 : 5
07/30/2025,NAAS,Naas Technology Inc,1 : 4
07/29/2025,AIHS,Senmiao Technology Ltd.,1 : 10
07/29/2025,SLXN,Silexion Therapeutics Corp,1 : 15
07/28/2025,IMA,Imagenebio Inc,1 : 12
